movieId,title_cast,director,plot_keywords,genres,title,year
1,TomHanks TimAllen DonRickles JimVarney WallaceShawn,johnlasseter,toy rivalry cowboy cgi animation,Adventure Animation Children Comedy Fantasy,Toy Story (1995),1995
2,RobinWilliams JonathanHyde KirstenDunst BradleyPierce BonnieHunt,jonathanhensleigh,board game adventurer fight game,Adventure Children Fantasy,Jumanji (1995),1995
3,WalterMatthau JackLemmon SophiaLoren Ann-Margret BurgessMeredith,markstevenjohnson,boat lake neighbor rivalry,Comedy Romance,Grumpier Old Men (1995),1995
4,WhitneyHouston AngelaBassett LorettaDevine LelaRochon GregoryHines,terrymcmillan,black american husband wife relationship betrayal mother son relationship,Comedy Drama Romance,Waiting to Exhale (1995),1995
5,SteveMartin DianeKeaton MartinShort KimberlyWilliams-Paisley GeorgeNewbern,alberthackett,fatherhood doberman dog mansion,Comedy,Father of the Bride Part II (1995),1995
6,AlPacino RobertDeNiro ValKilmer JonVoight TomSizemore,michaelmann,gun battle organized crime honor criminal investigation,Action Crime Thriller,Heat (1995),1995
7,HarrisonFord JuliaOrmond GregKinnear NancyMarchand JohnWood,samuela.taylor,character name as title chauffeur estate playboy,Comedy Romance,Sabrina (1995),1995
8,JonathanTaylorThomas BradRenfro EricSchweig CharlesRocket AmyWright,marktwain,rescue from drowning near drowning character names as title forenames as title,Adventure Children,Tom and Huck (1995),1995
9,Jean-ClaudeVanDamme PowersBoothe RaymondJ.Barry WhittniWright RossMalinger,karenelisebaldwin,hockey death in title two word title terrorist,Action,Sudden Death (1995),1995
10,PierceBrosnan SeanBean IzabellaScorupco FamkeJanssen JoeDonBaker,ianfleming,official james bond series james bond character 007 chemical weapons,Action Adventure Thriller,GoldenEye (1995),1995
11,MichaelDouglas AnnetteBening MartinSheen MichaelJ.Fox AnnaDeavereSmith,aaronsorkin,reference to franklin d. roosevelt reference to martin van buren president speechwriter,Comedy Drama Romance,"American President, The (1995)",1995
12,LeslieNielsen PeterMacNicol StevenWeber AmyYasbeck LysetteAnthony,melbrooks,dracula vampire 19th century insane asylum,Comedy Horror,Dracula: Dead and Loving It (1995),1995
13,KevinBacon BobHoskins BridgetFonda JimCummings PhilCollins,cliffruby,dog nome alaska alaska children,Adventure Animation Children,Balto (1995),1995
